id,x,y,major_axis,minor_axis,angle_deg
1.0,668.0,409.0,150.45096918173752,68.0,-160.1472887616704
2.0,299.0,570.0,150.1155863227272,68.0,85.94719106062159
3.0,461.0,318.0,149.21031282515784,68.0,74.56608286056014
4.0,546.0,546.0,148.02756985413546,68.0,82.31433266348091
5.0,424.0,720.0,147.85803532527828,68.0,111.7524725524213
6.0,393.0,449.0,147.81131220359512,68.0,168.53372455622468
7.0,73.0,96.0,148.70804549851542,68.0,70.96118682074338
8.0,407.0,476.0,148.71499212587636,68.0,-150.55586570465783
9.0,422.0,580.0,153.67994222959882,68.0,165.63662312166645
10.0,968.0,478.0,152.68671942738163,68.0,70.08314121956143
11.0,615.0,442.0,150.72770264987884,68.0,110.86394760607962
12.0,884.0,538.0,148.52905231615918,68.0,45.928638689865174
13.0,415.0,342.0,150.46190159648035,68.0,-159.0267184738979
14.0,917.0,285.0,148.67746316945681,68.0,-169.63879078388922
15.0,812.0,406.0,147.97860733893742,68.0,-144.55431780672967
16.0,589.0,441.0,151.54663329555314,68.0,100.53820770645868
17.0,453.0,597.0,147.8475621146711,68.0,128.79144812050814
18.0,133.0,569.0,149.39061656835412,68.0,73.29611218209699
19.0,931.0,258.0,149.97632123386362,68.0,112.61866500567419
20.0,387.0,597.0,147.93277545222995,68.0,49.311462348937106
21.0,163.0,569.0,151.86717615827973,68.0,169.0651569517389
22.0,500.0,355.0,147.46528451691805,68.0,-146.79878105109879
23.0,490.0,597.0,149.1800731922838,68.0,-141.47023354811424
24.0,533.0,172.0,149.52597385693812,68.0,-176.71560728856727
25.0,333.0,243.0,149.40222834601587,68.0,124.59361576528383
26.0,146.0,47.0,151.33602124500325,68.0,139.14252306757547
27.0,258.0,233.0,147.6530793654716,68.0,-139.6630172458693
28.0,143.0,235.0,148.17692435123146,68.0,169.76043280669074
29.0,279.0,306.0,148.53761110153462,68.0,136.76274086987362
30.0,196.0,339.0,150.08800602579782,68.0,114.05201661282169
31.0,201.0,369.0,147.5562192578699,68.0,160.2378773606282
32.0,575.0,193.0,150.31054463391303,68.0,-140.664367941702
33.0,903.0,334.0,147.80376425534737,68.0,-157.78509775522855
34.0,365.0,222.0,148.17188535445288,68.0,155.6121657172584
35.0,293.0,353.0,149.63854303761244,68.0,-137.8289334098014
36.0,922.0,390.0,149.00635126514206,68.0,51.83937590610624
37.0,322.0,367.0,146.7184209138538,68.0,174.07439556914483
38.0,346.0,846.0,140.71778909713916,62.20354787663141,-178.1294059466495
39.0,706.0,479.0,148.07013733404852,68.0,142.19657508605167
40.0,182.0,234.0,147.35273620619046,68.0,146.75029991537926
41.0,714.0,243.0,149.10577544450078,68.0,132.7760540877465
42.0,922.0,368.0,149.52367170722954,68.0,61.958652364586605
43.0,615.0,315.0,148.3740458667435,68.0,48.12105386797622
44.0,315.0,41.0,146.3957338422054,68.0,175.36455333522338
45.0,55.0,602.0,150.49644726499926,68.0,124.42317342614871
46.0,650.0,54.0,149.16635128188437,68.0,70.0360295461687
